sample_id,label_binary,attack_macro,src_h,src_w,mean_Y_112,mean_Y_256,std_Y_112,std_Y_256,band_0.0_0.1_112,band_0.0_0.1_256,band_0.1_0.2_112,band_0.1_0.2_256,band_0.2_0.3_112,band_0.2_0.3_256,band_0.3_0.5_112,band_0.3_0.5_256,freqsub_region_112,freqsub_region_256,above_src_nyquist_112,above_src_nyquist_256,haar_detail_frac_112,haar_detail_frac_256,hp_mean_abs_112,hp_mean_abs_256,lap_var_112,lap_var_256
000e48357fc429a30b6996ea47124daa838ef11fead4f26c5346a71c646026ff,0,live,112,112,0.33446035,0.33445595,0.1861943,0.18633324,0.92807869,0.98096028,0.04733795,0.0157582,0.01372127,0.00173156,0.01047127,0.00153156,0.02421243,0.00326776,0.02155159,0.00279862,0.02640564,0.00571416,0.01850303,0.0069454,0.0690429,0.00555519
000e9a74690619f1650ede35f89534b157ef685aa31414614bee51d9f650c747,1,print,112,112,0.25695283,0.2569584,0.09670504,0.09681414,0.9533606,0.98917421,0.03198679,0.00889379,0.00895297,0.0010308,0.00542537,0.0008734,0.0143989,0.00190774,0.01209569,0.00163292,0.02093773,0.00431783,0.00931903,0.00342388,0.0133102,0.00097214
000fea1ca98f74e5881b013e8385ad504872cc15247d3c48109c423692e392c6,1,print,112,112,0.35330654,0.35329677,0.12005428,0.12014913,0.9104195,0.97648821,0.05901939,0.017662,0.01852252,0.00291363,0.01170288,0.00290178,0.030279,0.00582575,0.02599471,0.00508022,0.02878514,0.00569679,0.01180121,0.00409502,0.03197845,0.00208191
001e46a5413eca93345db00ad1ff89d75e18ad49d9f1c6345ea975b5f97aa91e,1,print,112,112,0.294942,0.29492403,0.13096502,0.130953,0.86966589,0.96079644,0.07878295,0.03211762,0.02978763,0.00368184,0.02089285,0.00330874,0.05069573,0.00699773,0.04499261,0.00607367,0.04789085,0.01042321,0.01621876,0.00586341,0.07793931,0.00507331
001f67100ce7cd06ec85c9f7670617f4bf14f54db42d14e9d75d8d55b29f7082,1,replay,112,112,0.38356893,0.38356543,0.09656326,0.0967284,0.88574334,0.9672537,0.07480382,0.02170105,0.02157607,0.00522094,0.0174971,0.00576065,0.03924167,0.01101196,0.03269814,0.00975259,0.02722759,0.00586116,0.01076166,0.00371989,0.0162053,0.00114091
002ea4630facf0705f700778025f7df01f05b2e1cbbf4cac6a082d9a05f9f264,1,print,112,112,0.27820577,0.27819775,0.08379882,0.08382212,0.7650741,0.92947623,0.14618607,0.05239866,0.05065448,0.00936646,0.03681592,0.00865461,0.08758971,0.01803708,0.07673937,0.01556866,0.06336168,0.01278091,0.01182143,0.00441631,0.04654072,0.00284661
00333308f562e17d234f3214acea0506942118ab00c12b463c8bd7eecc66d76e,1,print,112,112,0.37677391,0.37676297,0.10226227,0.1022608,0.82348117,0.94865093,0.10734701,0.04130441,0.04157364,0.00537107,0.02667751,0.00459611,0.06826459,0.00997236,0.05834284,0.00851627,0.06350541,0.01200711,0.01236921,0.00472022,0.06137546,0.00404565
0037e44bb9cb66244173771fe1be7727d4cb03756e4b12819f490161e092d27d,0,live,112,112,0.44752604,0.44752639,0.1762784,0.17646076,0.89383857,0.96654919,0.06732035,0.02464083,0.02071365,0.00433507,0.01768659,0.0044339,0.03851809,0.00878513,0.03474344,0.0077174,0.0330952,0.00660999,0.02102522,0.0075688,0.07377331,0.00545224
004921f097f6a546b91055cd0071ae74ec39e1ca4e7a88e64aae9ee71cfd5242,1,print,112,112,0.43419101,0.43418638,0.12139946,0.1215329,0.85967686,0.95613897,0.08837364,0.03346794,0.02887093,0.0051736,0.02256944,0.00516553,0.05145692,0.01034403,0.0468906,0.00916757,0.03422613,0.00854504,0.01513792,0.00544492,0.04952643,0.00367726
004bd120aec7ac380c9488b64bda73119697758db001d5388d2da7cbdc2a8067,1,print,112,112,0.33898643,0.33897188,0.13333547,0.1335074,0.88003673,0.9675907,0.07791293,0.024226,0.02635532,0.00410296,0.01501808,0.00402567,0.04144538,0.00814156,0.03521363,0.00706373,0.03647317,0.00709996,0.01618121,0.00570951,0.04595086,0.0031602
