ada_status,attack_raw,bbox,crop_pre_resize_hw,crop_requested,crop_side_px,crop_source,crop_touches_border,dataset,det_score,embedding_dim,embedding_l2,error,face_png_sha256,frame_hw,frame_index,frame_png_sha256,fx_finite,fx_status,label_binary,landmarks_shape,logits_array_equal,logits_bytes_equal,logits_compressed_bytes,logits_decode_s,logits_dtype,logits_encode_s,logits_npy_bytes,logits_ratio,logits_raw_bytes,mask_from_stored_logits,n_detections,pad_bottom,pad_left,pad_right,pad_top,parsing_logits_shape,pose_deg,raw_norm,route,sample_id,scrfd_applied,scrfd_status,seconds,status,video_id
OK,HR_3,,,,,,,casia_fasd,,512,1.00000000,,00d5ca5ad02771f57bbec027c5d0078f5d73b27ee16f989731c76e81cb3edf7b,,52,7e2b73aae8c823858323eecd146076019a6892d6005169d5cfe721679253f88a,True,OK,1,"(68, 2)",True,True,1690942,0.0021,float32,0.0085,2207872,1.305705,2207744,True,,,,,,"(11, 224, 224)","[-9.389, -2.147, 4.683]",25.065720,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,1afed8e230de81fd5ce85a8edc286205b4a4fce3c0f52e18b5bffd4fb9d155cc,False,N/A,0.57,OK,test/spoof/s20vHR_3
OK,8,,,,,,,casia_fasd,,512,1.00000000,,6c083cda90d341d7d3810e14d5c94c62d1a197742f9b3a5e22c5f2cb665a72a1,,58,dbb1bc50d0dc93ef65f754f16b3aadeb95c7b3d418cc949205bd73f4d0b0f4f5,True,OK,1,"(68, 2)",True,True,1684025,0.0021,float32,0.0075,2207872,1.311068,2207744,True,,,,,,"(11, 224, 224)","[-6.079, 1.191, -5.406]",24.955019,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,561349e284bc285abd4051ea4cbdd9aea4a105a95d6ec147aa7c2d7c4516ad5f,False,N/A,0.56,OK,train/spoof/s14v8
OK,5,,,,,,,casia_fasd,,512,1.00000000,,f27ec59d8164891b26687e18b27239438ff3f01ce7a7834e0612af52cfc54c74,,15,856cab8b0196e57c464c9f0e3e05ccc0235c66bc2a639626e811a4b6aa6184f5,True,OK,1,"(68, 2)",True,True,1692301,0.0020,float32,0.0076,2207872,1.304657,2207744,True,,,,,,"(11, 224, 224)","[-2.371, -2.888, -0.752]",22.867956,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,aade9e2d28d824d625b3b64deb29b95706d6ec00943ed8d3179ef977d73bf507,False,N/A,0.55,OK,test/spoof/s17v5
OK,3,,,,,,,casia_fasd,,512,1.00000000,,6c8695cd3056ec47c5160da16e48bd6a32dc01be610f33dc0b63ac676ec1f68b,,39,daac83ee6f761e272ad1d8dfffb41e95cc8c603f0d8ccd78e225288f0f797a92,True,OK,1,"(68, 2)",True,True,1684441,0.0020,float32,0.0080,2207872,1.310745,2207744,True,,,,,,"(11, 224, 224)","[-5.582, -3.608, -10.405]",23.686420,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,b0bf34e36d907f90ebe4913bc7a0901ccea364990911fba554f8ed25806418ee,False,N/A,0.55,OK,test/spoof/s7v3
OK,,,,,,,,casia_fasd,,512,1.00000000,,5c0f19055667d832e894ec4c89bd15132565da7e7d9214b8f5b8bef0a819d533,,86,27fd014ce1c4607068728e4a4ab6e8ed27df405b5e977a0a2fe7181d6d6416c6,True,OK,0,"(68, 2)",True,True,1682469,0.0021,float32,0.0075,2207872,1.312281,2207744,True,,,,,,"(11, 224, 224)","[-12.186, 0.483, -1.944]",24.597700,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,bd38e3bc800075da766b24944333ad77902590860ded1a419329fdc57a2ee510,False,N/A,0.56,OK,test/spoof/s18vHR_1
OK,,,,,,,,casia_fasd,,512,1.00000000,,0008ea015dbbc1155f952e29a8e137ecfcc1979a5e9799a82d0552a6cad638c2,,89,da4e3745c3e1671e8c69ddb2e96a9c8133aeb421adc6365fc29beeb21c220bf6,True,OK,0,"(68, 2)",True,True,1693141,0.0020,float32,0.0081,2207872,1.304010,2207744,True,,,,,,"(11, 224, 224)","[1.873, 1.212, -2.302]",21.827501,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,d16bdd7eed5da7a31706a4fdbfd32b9ec4ea5afc1821ea2fe7b25c52c1251ae7,False,N/A,0.56,OK,train/live/s19v2
OK,,,,,,,,casia_fasd,,512,1.00000000,,a4fd3fd2acf2f1578cd31dbe28fdfe49894f33053dd1ff1736b990776891d578,,178,18de65fbdb0057d2c682f2cbada840cdb0e724151bfd1fdf59de0f6a9a0c99d0,True,OK,0,"(68, 2)",True,True,1687952,0.0021,float32,0.0077,2207872,1.308018,2207744,True,,,,,,"(11, 224, 224)","[5.74, -0.728, -0.499]",21.614702,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,f747a0e0b937e6b14fc1f9a14619fc47da50562c8e8e9018640dfa375acfc4c2,False,N/A,0.56,OK,test/live/s14v2
OK,,,,,,,,casia_fasd,,512,1.00000000,,b05c033f79e419608aefd93f2ddfb132f2448758ed4d335b08cf7a9dd32ae552,,115,3fb70e837d82ccc0023c7ec0ebe876ea57d58723d787d644ad872d17b8123630,True,OK,0,"(68, 2)",True,True,1691014,0.0022,float32,0.0082,2207872,1.305650,2207744,True,,,,,,"(11, 224, 224)","[-5.207, -2.06, 3.668]",25.608738,PRECROPPED_112_RGB_TO_256_INTER_CUBIC,fdab1dc9badb3be8729da7fbf7c4a910d7b934e605d6aa7ddd33222c0b3cd8c4,False,N/A,0.57,OK,test/live/s20v1
OK,printed_photo,"[227.776, 129.353, 440.243, 421.726]",365x365,"[152, 93, 517, 458]",365,"[152, 93, 517, 458]",False,msu_mfsd,0.803592,512,1.00000000,,41eaca540346d4ff0d253c02916dfb640713f4d7578c27d94fd83ecf47e6de82,480x640,50,90e665b9c41207cda31501c836410064f2213f22decc6406767733d634ed3327,True,OK,1,"(68, 2)",True,True,1680780,0.0021,float32,0.0068,2207872,1.313600,2207744,True,1,0,0,0,0,"(11, 224, 224)","[-6.77, 6.217, 1.122]",18.028423,SPEC_SECTION_4_SCRFD,24244e9c7ad7fba7ef2349f525b1ebef388a1d9a4424b9969b3751b9a75ab9c5,True,DETECTED,0.69,OK,scene01/attack/attack_client054_laptop_SD_printed_photo_scene01
OK,,"[255.671, 128.498, 372.782, 276.586]",185x185,"[222, 110, 407, 295]",185,"[222, 110, 407, 295]",False,msu_mfsd,0.909067,512,1.00000000,,d0c5f150fa6375adfa91af19a4b701f994149111ba85cdff3959c2c63ee2680a,480x640,50,d673de8eea98a93f7b459c6eb88c5b296cb768d8f2489a369f4f6ed73172c6b6,True,OK,0,"(68, 2)",True,True,1684562,0.0022,float32,0.0073,2207872,1.310650,2207744,True,1,0,0,0,0,"(11, 224, 224)","[2.167, -0.478, 2.456]",22.521349,SPEC_SECTION_4_SCRFD,2bc9f7dd35aabe23f2eedeb75aaadadef19cafc937a37f5ed021a6ed337f546f,True,DETECTED,0.70,OK,scene01/real/real_client032_laptop_SD_scene01
