field,role,shard,rows,bytes,shard_sha256,codec_id,index_sha256,physical_dir
embedding,identity,embedding-00000.bin,256,557056,3e400951c28da6c6952537e598a484561626e8f387b7d229609c7ef5c31717da,npy1,c153572b6c70119d77880d061141da9e550feff9bd5bf9d70a392ee583270a8c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00001.bin,256,557056,c8f81712eea9e72fcb3b4f9a4f042afb8f1c041bd65b006d58d8c4b9b1de887d,npy1,4340572fcf9e0e536dd11b558b8fef29a2d9cc0cab9d1bfd815a5659de2be9b3,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00002.bin,256,557056,e4d7572662dc409b72b92c9762248ef2c6041c6d044e0ad52ad1d7cd5e4bd919,npy1,667b0b072a10f050964d29153807309fa17dd683062dbf8271603ba53dd8885f,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00003.bin,256,557056,77986abaf3c82e1a249e3310621183a3421309e52fea6361b96bdcfab977defa,npy1,5d2bf859b9969c843766ac9aa9b2a469980beb50b86bef98a6fd1baa6d5a5264,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00004.bin,256,557056,4c7f17d44050489813d8b6843267522519af33227fda59d807d054a3fd4e9a41,npy1,d82cedc429969e8353419461606e7e1adf5aab5190dc72244fdc160d5cb8d6b8,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00005.bin,256,557056,90059ecb7c7aec7d3915f0854cc18922d8a6295cab82694a0e578b1ace0ee82d,npy1,dae847865fec7694a44dcc35046f78d1059fcaed91cfb585e3d7665f17a7706a,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00006.bin,256,557056,895fb2c969bee96269c444b448b8ecaed3be410beb17fc222822bda9a433b1c1,npy1,93040a9520f346e2f08696df6f4ba22beb38165ee32fdbd15157ffda4ef9cb07,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00007.bin,256,557056,e7e6bb8f3e2fda64576684befb54b7b08c60231c91f5feaac56782efd07e5769,npy1,f5fdd91acae6104b9406cd3fc8f7f897ec90386fe853fa4f600049baba377499,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00008.bin,256,557056,26a06469f57e24e29d07a275f02a178f016eb3fcdea35470e5eaf9b30263b1d1,npy1,a310e7764fb3b2d291b5ad85d3e21188d5bda9f33157da34c1cadc19d4933110,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00009.bin,256,557056,98ba96cf5547bd4d8b380e7195c00bc6d637c0b87c8d4575fcdbfa7c858750a4,npy1,1fb4df37504b244e11bba41130f7ff84a8fce4e0a80d4dab92c2118a1b041047,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00010.bin,256,557056,75d6c8281a6d5bf4f7bf71ca9c14b4187ec1e4f3d847a856860b58a47f85eda7,npy1,4edb2335d9af929ce5ba3dc8bf1484657c086eb57d72cc1146a4297bbeb97f6c,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00011.bin,256,557056,6589ef569a07a6f4bf5d8a38c48a5104a900128b735b61647d33246849a5c1e8,npy1,d00ad96e84a5e849fd3470557ede107607fecfbdfe290c5ab499dee377344fe6,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00012.bin,256,557056,8b813e43df934bf37b629b1761292fc7033e3191a687182893668ec4231a152d,npy1,62d84aeec1c3eab20987d3c95acff54c585189858fae9916d25630c6b7233e39,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00013.bin,256,557056,7fea22d48ede058df9123448bb414c5da0986f6bb72ff593cecbbd86a0953199,npy1,445d74189e1fff3744e5eb9e4a3661f1cbe6bb273da37c29bd26bc320ee5daeb,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00014.bin,256,557056,4af52eb1abe960547a4d20142eb05c7a69b7ec12128d67c9be81c015118b1a14,npy1,75888a16b832e784964b230d81d930825d3b07f45351390cc5ce6dba801dac5b,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00015.bin,256,557056,70784a9eb2afc9c4c5cd96f9f6271f03dfb523abadcb8ceecd72726b71fb74ba,npy1,8ce290cb72d80979f9c04deaee432a2b3317c21aa0d6dfc94851aef50560a6bb,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
embedding,identity,embedding-00016.bin,256,557056,c014e4cfc711d335439274caed63952b1da18af92de75f7e7e35ea2d61650c2f,npy1,76976720af30e9fc493ff5ef6078c4ff8cd4d342537614f4a5f87d9c9dc537f9,/media/cong/Data/GPAT_TransferBench_runtime/cache/identity/embedding
