dataset,video_id,content_group_id,label_binary,attack_macro,attack_raw,expected_selected_frames,complete_frames,failed_frames,failed_original_frame_indices,complete_original_frame_indices
siwmv2,Live/Live_463.avi,siwmv2::sha256:de82997f3c698da79201ad445b40843bb11461839ee29f5f948cc8c6a7dd47c2,0,live,,8,7,1,[159],"[36, 77, 118, 200, 241, 282, 323]"
siwmv2,Live/Live_639.mov,siwmv2::sha256:671daf47e8deb66702e534d06c3bd19ad40373d191d6c43f000710adc8ecc542,0,live,,8,7,1,[13],"[3, 6, 10, 16, 19, 23, 26]"
siwmv2,Live/Live_85.mov,siwmv2::sha256:7cc0d22e6c5bbf200395106426be16a157c6680200b18ac46a23737beb355f30,0,live,,8,6,2,"[106, 133]","[24, 51, 79, 160, 188, 215]"
siwmv2,Spoof/Makeup_Impersonation/Makeup_Im_2.mov,siwmv2::sha256:cf2ddccecc69f8182152f1b0822dcdf53855c1f2bd34d90b592b464c21301f38,1,makeup,Makeup_Impersonation,8,7,1,[131],"[17, 36, 55, 74, 93, 112, 150]"
siwmv2,Spoof/Makeup_Impersonation/Makeup_Im_60.mov,siwmv2::sha256:888fb7684f7b049cd75b9aa9dabca6c29565a5646487f55b781f13ed3500e16e,1,makeup,Makeup_Impersonation,8,7,1,[50],"[9, 19, 29, 39, 60, 70, 80]"
siwmv2,Spoof/Paper/Paper_100.mov,siwmv2::sha256:5fe96181bac3452f6ab02bf7b3be438161ad93c0b6ec9a8a83830d2c6badcd46,1,print,Paper,8,7,1,[39],"[12, 26, 53, 67, 81, 94, 108]"
siwmv2,Spoof/Paper/Paper_38.mov,siwmv2::sha256:41e0c23d6b78770c011387648e7b965030d9c6941917d1b84f40abf527947707,1,print,Paper,8,7,1,[3],"[6, 10, 13, 16, 19, 23, 26]"
siwmv2,Spoof/Paper/Paper_91.mov,siwmv2::sha256:8a8798760484547f1896878691e8a0997575b88d4c4e78babe5cdc18c037cbfe,1,print,Paper,8,7,1,[28],"[13, 44, 59, 74, 89, 105, 120]"
siwmv2,Spoof/Paper/Paper_96.mov,siwmv2::sha256:f055a14070a8e9f032ce1f579bd582a8f2eaf47640cca3e72cdce75e5343cb52,1,print,Paper,8,7,1,[59],"[9, 19, 29, 39, 49, 69, 79]"
siwmv2,Spoof/Paper/Paper_99.mov,siwmv2::sha256:3f05963006742798c827bbb4768f17dae836045e31756ed94d563976aa5883a2,1,print,Paper,8,7,1,[96],"[11, 23, 35, 47, 60, 72, 84]"
