dataset,category,total_videos,TRAIN_videos,TRAIN_pct,TRAIN_target_pct,TRAIN_deviation_pp,VAL_videos,VAL_pct,VAL_target_pct,VAL_deviation_pp,TEST_videos,TEST_pct,TEST_target_pct,TEST_deviation_pp
casia_fasd,live,150,105,70.0,70,0.0,24,16.0,15,1.0,21,14.0,15,-1.0
casia_fasd,print,300,210,70.0,70,0.0,48,16.0,15,1.0,42,14.0,15,-1.0
casia_fasd,replay,150,105,70.0,70,0.0,24,16.0,15,1.0,21,14.0,15,-1.0
msu_mfsd,live,70,50,71.4286,70,1.4286,10,14.2857,15,-0.7143,10,14.2857,15,-0.7143
msu_mfsd,print,70,50,71.4286,70,1.4286,10,14.2857,15,-0.7143,10,14.2857,15,-0.7143
msu_mfsd,replay,140,100,71.4286,70,1.4286,20,14.2857,15,-0.7143,20,14.2857,15,-0.7143
siwmv2,live,785,549,69.9363,70,-0.0637,118,15.0318,15,0.0318,118,15.0318,15,0.0318
siwmv2,makeup,135,95,70.3704,70,0.3704,20,14.8148,15,-0.1852,20,14.8148,15,-0.1852
siwmv2,mask_2d,17,12,70.5882,70,0.5882,3,17.6471,15,2.6471,2,11.7647,15,-3.2353
siwmv2,mask_3d,189,132,69.8413,70,-0.1587,28,14.8148,15,-0.1852,29,15.3439,15,0.3439
siwmv2,partial,341,239,70.088,70,0.088,51,14.956,15,-0.044,51,14.956,15,-0.044
siwmv2,print,135,95,70.3704,70,0.3704,20,14.8148,15,-0.1852,20,14.8148,15,-0.1852
siwmv2,replay,98,68,69.3878,70,-0.6122,15,15.3061,15,0.3061,15,15.3061,15,0.3061
