dataset,category,total_videos,TRAIN_videos,TRAIN_pct,TRAIN_target_pct,TRAIN_deviation_pp,VAL_videos,VAL_pct,VAL_target_pct,VAL_deviation_pp,TEST_videos,TEST_pct,TEST_target_pct,TEST_deviation_pp
casia_fasd,(none),150,105,70.0,70,0.0,24,16.0,15,1.0,21,14.0,15,-1.0
casia_fasd,3,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,4,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,5,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,6,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,7,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,8,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,HR_2,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,HR_3,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
casia_fasd,HR_4,50,35,70.0,70,0.0,8,16.0,15,1.0,7,14.0,15,-1.0
msu_mfsd,(none),70,50,71.4286,70,1.4286,10,14.2857,15,-0.7143,10,14.2857,15,-0.7143
msu_mfsd,ipad_video,70,50,71.4286,70,1.4286,10,14.2857,15,-0.7143,10,14.2857,15,-0.7143
msu_mfsd,iphone_video,70,50,71.4286,70,1.4286,10,14.2857,15,-0.7143,10,14.2857,15,-0.7143
msu_mfsd,printed_photo,70,50,71.4286,70,1.4286,10,14.2857,15,-0.7143,10,14.2857,15,-0.7143
siwmv2,(none),785,549,69.9363,70,-0.0637,118,15.0318,15,0.0318,118,15.0318,15,0.0318
siwmv2,Makeup_Cosmetic,52,36,69.2308,70,-0.7692,8,15.3846,15,0.3846,8,15.3846,15,0.3846
siwmv2,Makeup_Impersonation,61,43,70.4918,70,0.4918,9,14.7541,15,-0.2459,9,14.7541,15,-0.2459
siwmv2,Makeup_Obfuscation,22,16,72.7273,70,2.7273,3,13.6364,15,-1.3636,3,13.6364,15,-1.3636
siwmv2,Mannequin,40,28,70.0,70,0.0,6,15.0,15,0.0,6,15.0,15,0.0
siwmv2,Mask_HalfMask,72,50,69.4444,70,-0.5556,11,15.2778,15,0.2778,11,15.2778,15,0.2778
siwmv2,Mask_PaperMask,17,12,70.5882,70,0.5882,3,17.6471,15,2.6471,2,11.7647,15,-3.2353
siwmv2,Mask_TransparentMask,60,42,70.0,70,0.0,9,15.0,15,0.0,9,15.0,15,0.0
siwmv2,Paper,135,95,70.3704,70,0.3704,20,14.8148,15,-0.1852,20,14.8148,15,-0.1852
siwmv2,Partial_Eye,57,40,70.1754,70,0.1754,8,14.0351,15,-0.9649,9,15.7895,15,0.7895
siwmv2,Partial_FunnyeyeGlasses,179,125,69.8324,70,-0.1676,27,15.0838,15,0.0838,27,15.0838,15,0.0838
siwmv2,Partial_Mouth,29,21,72.4138,70,2.4138,4,13.7931,15,-1.2069,4,13.7931,15,-1.2069
siwmv2,Partial_PaperGlasses,76,53,69.7368,70,-0.2632,12,15.7895,15,0.7895,11,14.4737,15,-0.5263
siwmv2,Replay,98,68,69.3878,70,-0.6122,15,15.3061,15,0.3061,15,15.3061,15,0.3061
siwmv2,Silicone,17,12,70.5882,70,0.5882,2,11.7647,15,-3.2353,3,17.6471,15,2.6471
