epoch,lr_in_force_during_epoch_torch,lr_analytic_closed_form
1,0.0001,0.0001
2,9.972609476841367e-05,9.972609476841367e-05
3,9.890738003669029e-05,9.890738003669029e-05
4,9.755282581475769e-05,9.755282581475769e-05
5,9.567727288213003e-05,9.567727288213005e-05
6,9.330127018922194e-05,9.330127018922194e-05
7,9.045084971874738e-05,9.045084971874738e-05
8,8.715724127386972e-05,8.715724127386972e-05
9,8.345653031794292e-05,8.345653031794292e-05
10,7.938926261462366e-05,7.938926261462366e-05
11,7.500000000000001e-05,7.500000000000001e-05
12,7.033683215379003e-05,7.033683215379002e-05
13,6.545084971874738e-05,6.545084971874738e-05
14,6.039558454088797e-05,6.0395584540887963e-05
15,5.522642316338269e-05,5.522642316338268e-05
16,5.000000000000002e-05,5.0000000000000016e-05
17,4.4773576836617344e-05,4.477357683661734e-05
18,3.9604415459112035e-05,3.9604415459112035e-05
19,3.4549150281252636e-05,3.4549150281252636e-05
20,2.966316784621e-05,2.9663167846209998e-05
21,2.5000000000000015e-05,2.500000000000001e-05
22,2.0610737385376352e-05,2.061073738537635e-05
23,1.654346968205711e-05,1.6543469682057106e-05
24,1.2842758726130304e-05,1.2842758726130299e-05
25,9.549150281252636e-06,9.549150281252633e-06
26,6.698729810778068e-06,6.698729810778065e-06
27,4.322727117869953e-06,4.322727117869951e-06
28,2.447174185242324e-06,2.4471741852423237e-06
29,1.092619963309716e-06,1.0926199633097157e-06
30,2.7390523158633003e-07,2.7390523158633e-07
