epoch,lr,train_loss,train_batches,train_samples,train_optimizer_steps,val_macro_f1,val_accuracy,val_samples,is_best,best_epoch_so_far,best_macro_f1_so_far,epoch_seconds
1,0.0001,0.24478913344050926,227,14467,227,0.9454474021652698,0.9391220762576098,3121,True,1,0.9454474021652698,14.89796
2,9.972609476841367e-05,0.008658680550997668,227,14467,227,0.949258677589153,0.9480935597564883,3121,True,2,0.949258677589153,14.25797
3,9.890738003669029e-05,0.002581540505714849,227,14467,227,0.955748454320602,0.9551425825056071,3121,True,3,0.955748454320602,14.425417
4,9.755282581475769e-05,0.007921177000600466,227,14467,227,0.9538674680145224,0.9480935597564883,3121,False,3,0.955748454320602,14.347943
5,9.567727288213003e-05,0.010390019648767436,227,14467,227,0.9570948128140261,0.9480935597564883,3121,True,5,0.9570948128140261,14.510417
6,9.330127018922194e-05,0.010720546909612388,227,14467,227,0.9622432503804669,0.962512015379686,3121,True,6,0.9622432503804669,14.418205
7,9.045084971874738e-05,0.004866988487681242,227,14467,227,0.9423694998248455,0.9538609420057674,3121,False,6,0.9622432503804669,14.500832
8,8.715724127386972e-05,0.015818613242035318,227,14467,227,0.9514529779917416,0.9439282281320089,3121,False,6,0.9622432503804669,14.400136
9,8.345653031794292e-05,0.004994695049814152,227,14467,227,0.9623980027099778,0.9612303748798462,3121,True,9,0.9623980027099778,14.71611
10,7.938926261462366e-05,0.0017252305745043331,227,14467,227,0.969135020247713,0.9641140660044858,3121,True,10,0.969135020247713,14.534449
11,7.500000000000001e-05,0.011465053882909765,227,14467,227,0.967552448566144,0.9666773470041653,3121,False,10,0.969135020247713,14.565196
12,7.033683215379003e-05,0.0007115068614084781,227,14467,227,0.9682854915150045,0.9657161166292855,3121,False,10,0.969135020247713,14.511149
13,6.545084971874738e-05,0.0006006978122409187,227,14467,227,0.9683838824923566,0.9660365267542455,3121,False,10,0.969135020247713,14.560276
14,6.039558454088797e-05,0.00042435498477489,227,14467,227,0.9693201750054498,0.9657161166292855,3121,True,14,0.9693201750054498,14.662097
15,5.522642316338269e-05,0.0033415020052416995,227,14467,227,0.9647926558743415,0.9634732457545658,3121,False,14,0.9693201750054498,14.359128
16,5.000000000000002e-05,0.006185995690686676,227,14467,227,0.9564768501301624,0.9538609420057674,3121,False,14,0.9693201750054498,14.505833
17,4.4773576836617344e-05,0.0006007675635307168,227,14467,227,0.9657124091569488,0.9605895546299263,3121,False,14,0.9693201750054498,14.537781
18,3.9604415459112035e-05,0.0003261317850247704,227,14467,227,0.9637834739734252,0.9573854533803268,3121,False,14,0.9693201750054498,14.437238
19,3.4549150281252636e-05,0.000292812183496375,227,14467,227,0.9626374981000257,0.9573854533803268,3121,False,14,0.9693201750054498,14.525397
20,2.966316784621e-05,0.00023830221003364238,227,14467,227,0.9687512106783596,0.9647548862544056,3121,False,14,0.9693201750054498,14.439741
21,2.5000000000000015e-05,0.00042294141876667,227,14467,227,0.9666860989328436,0.9605895546299263,3121,False,14,0.9693201750054498,14.481709
22,2.0610737385376352e-05,0.0018705963895827987,227,14467,227,0.9686648165820776,0.9650752963793656,3121,False,14,0.9693201750054498,14.459826
23,1.654346968205711e-05,0.0004208594610160234,227,14467,227,0.961068540078963,0.9573854533803268,3121,False,14,0.9693201750054498,14.448717
24,1.2842758726130304e-05,0.000733140546268054,227,14467,227,0.9626941742601257,0.9573854533803268,3121,False,14,0.9693201750054498,14.5057
25,9.549150281252636e-06,0.000461054993165062,227,14467,227,0.9605586599627546,0.9551425825056071,3121,False,14,0.9693201750054498,14.460522
26,6.698729810778068e-06,0.0003625587075970603,227,14467,227,0.9600634439468568,0.9541813521307273,3121,False,14,0.9693201750054498,14.487619
27,4.322727117869953e-06,0.0003748940069159786,227,14467,227,0.9588374057846034,0.9551425825056071,3121,False,14,0.9693201750054498,14.493154
28,2.447174185242324e-06,0.0003373659029628755,227,14467,227,0.9614778440660576,0.9561038128804871,3121,False,14,0.9693201750054498,14.471496
29,1.092619963309716e-06,0.0003751805583904112,227,14467,227,0.9659833475389552,0.9602691445049664,3121,False,14,0.9693201750054498,14.459094
30,2.7390523158633003e-07,0.0003394713325997252,227,14467,227,0.9619491570501985,0.9583466837552067,3121,False,14,0.9693201750054498,14.463975
