row_type,dataset,video,declared_index,opencv_status,reported_pos_before,reported_pos_after,reported_msec_before,reported_msec_after,pyav_status,pyav_pts_msec,best_offset,diff_at_0,min_diff_other,interpretation
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,122,OK,122.0,123.0,4032.533,4065.867,OK,4065.867,0,0.0,0.374,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,123,OK,123.0,124.0,4065.867,4099.2,OK,4099.2,0,0.0,0.374,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,124,OK,124.0,125.0,4099.2,4132.533,OK,4132.533,0,0.0,0.397,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,125,OK,125.0,126.0,4132.533,4165.867,OK,4165.867,0,0.0,0.384,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,126,OK,126.0,127.0,4165.867,4199.2,OK,4199.2,0,0.0,0.384,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,127,READ_FAILED,127.0,127.0,4199.2,0.0,ERROR,,,,,failed read at this original index
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,128,OK,127.0,128.0,0.0,4265.867,OK,4265.867,0,0.0,0.415,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,129,OK,128.0,129.0,4265.867,4299.2,OK,4299.2,0,0.0,0.414,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,130,OK,129.0,130.0,4299.2,4332.533,OK,4332.533,0,0.0,0.372,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,131,OK,130.0,131.0,4332.533,4365.867,OK,4365.867,0,0.0,0.354,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,132,OK,131.0,132.0,4365.867,4399.2,OK,4399.2,0,0.0,0.354,aligned (unique best offset 0)
video_summary,msu_mfsd,scene01/attack/attack_client008_laptop_SD_ipad_video_scene01.mov,,valid=299 failed=[127],,,,,decoded=299 errors=[127] packets=300,,,,,CONTINUITY_PROVEN: aligned=299 ambiguous=0 misaligned=0
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,242,OK,242.0,243.0,8005.4,8038.733,OK,8038.733,0,0.0,0.495,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,243,OK,243.0,244.0,8038.733,8072.067,OK,8072.067,0,0.0,0.623,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,244,OK,244.0,245.0,8072.067,8105.4,OK,8105.4,0,0.0,0.487,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,245,OK,245.0,246.0,8105.4,8138.733,OK,8138.733,0,0.0,0.487,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,246,OK,246.0,247.0,8138.733,8172.067,OK,8172.067,0,0.0,0.706,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,247,READ_FAILED,247.0,247.0,8172.067,0.0,ERROR,,,,,failed read at this original index
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,248,OK,247.0,248.0,0.0,8238.733,OK,8238.733,0,0.0,0.514,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,249,OK,248.0,249.0,8238.733,8272.067,OK,8272.067,0,0.0,0.514,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,250,OK,249.0,250.0,8272.067,8305.4,OK,8305.4,0,0.0,0.548,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,251,OK,250.0,251.0,8305.4,8338.733,OK,8338.733,0,0.0,0.503,aligned (unique best offset 0)
index,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,252,OK,251.0,252.0,8338.733,8372.067,OK,8372.067,0,0.0,0.503,aligned (unique best offset 0)
video_summary,msu_mfsd,scene01/attack/attack_client023_laptop_SD_iphone_video_scene01.mov,,valid=300 failed=[247],,,,,decoded=300 errors=[247] packets=301,,,,,CONTINUITY_PROVEN: aligned=298 ambiguous=2 misaligned=0
video_summary,msu_mfsd,scene01/attack/attack_client028_laptop_SD_printed_photo_scene01.mov,,valid=205 failed=[],,,,,decoded=205 errors=[] packets=205,,,,,CONTINUITY_PROVEN: aligned=201 ambiguous=4 misaligned=0
video_summary,msu_mfsd,scene01/attack/attack_client049_laptop_SD_printed_photo_scene01.mov,,valid=213 failed=[],,,,,decoded=213 errors=[] packets=213,,,,,CONTINUITY_PROVEN: aligned=211 ambiguous=2 misaligned=0
video_summary,msu_mfsd,scene01/attack/attack_client051_laptop_SD_printed_photo_scene01.mov,,valid=211 failed=[],,,,,decoded=211 errors=[] packets=211,,,,,CONTINUITY_PROVEN: aligned=209 ambiguous=2 misaligned=0
video_summary,msu_mfsd,scene01/attack/attack_client053_laptop_SD_ipad_video_scene01.mov,,valid=301 failed=[],,,,,decoded=301 errors=[] packets=301,,,,,CONTINUITY_PROVEN: aligned=301 ambiguous=0 misaligned=0
video_summary,msu_mfsd,scene01/real/real_client001_laptop_SD_scene01.mov,,valid=301 failed=[],,,,,decoded=301 errors=[] packets=301,,,,,CONTINUITY_PROVEN: aligned=299 ambiguous=2 misaligned=0
index,siwmv2,Live/Live_889.mp4,103,OK,103.0,104.0,3400.0,3433.333,OK,3433.333,0,0.0,0.061,aligned (unique best offset 0)
index,siwmv2,Live/Live_889.mp4,104,OK,104.0,105.0,3433.333,3466.667,OK,3466.667,0,0.0,0.061,aligned (unique best offset 0)
index,siwmv2,Live/Live_889.mp4,105,OK,105.0,106.0,3466.667,3500.0,OK,3500.0,0,0.0,0.056,aligned (unique best offset 0)
index,siwmv2,Live/Live_889.mp4,106,OK,106.0,107.0,3500.0,3533.333,OK,3533.333,0,0.0,0.056,aligned (unique best offset 0)
index,siwmv2,Live/Live_889.mp4,107,OK,107.0,108.0,3533.333,3600.0,OK,3600.0,0,0.0,0.133,aligned (unique best offset 0)
index,siwmv2,Live/Live_889.mp4,108,READ_FAILED,108.0,108.0,3600.0,0.0,NO_FRAME,,,,,failed read at this original index
index,siwmv2,Live/Live_889.mp4,109,READ_FAILED,108.0,108.0,0.0,0.0,NO_FRAME,,,,,failed read at this original index
index,siwmv2,Live/Live_889.mp4,110,READ_FAILED,108.0,108.0,0.0,0.0,NO_FRAME,,,,,failed read at this original index
video_summary,siwmv2,Live/Live_889.mp4,,"valid=108 failed=[108, 109, 110]",,,,,decoded=108 errors=[] packets=108,,,,,CONTINUITY_PROVEN: aligned=108 ambiguous=0 misaligned=0
